brand_name,model_name,store_name,store_id,price_brl,url,is_active,id,paddle_id,last_updated,version_id
Joola,Raquete Match Pro,Joola Brasil,14,249.0,https://joola.com.br/products/raquete-joola-match-pro,True,13,4675e34b-5045-4854-9b5b-e93e39fbf829,2026-03-22 20:47:40.647790,
Joola,Raquete Infinity Balance (Verde),Joola Brasil,14,349.0,https://joola.com.br/products/raquete-joola-infinity-balance-verde,True,14,5c9d8168-37c5-47ea-aa7b-5721befa4cfc,2026-03-22 20:47:40.660831,
Joola,Raquete Bat Match,Joola Brasil,14,119.0,https://joola.com.br/products/raquete-joola-bat-match,True,15,a809043c-a04a-4e2f-b37c-3d719fb81d40,2026-03-22 20:47:40.673967,
Joola,Raquete Team Master,Joola Brasil,14,189.0,https://joola.com.br/products/raquete-joola-team-masters,True,16,f0fc5835-9313-4262-aaf8-695c6a7c4095,2026-03-22 20:47:40.689563,
Joola,Borracha Micron,Joola Brasil,14,209.0,https://joola.com.br/products/borracha-joola-micron,True,17,2ded78b5-c452-4504-bcc6-efd668d77c83,2026-03-22 20:47:40.704914,
Joola,Raquete Proline One,Joola Brasil,14,899.0,https://joola.com.br/products/raquete-joola-proline-one,True,18,0b41be27-2c10-4564-b3fc-fea2de681a05,2026-03-22 20:47:40.719635,
Joola,Raquete Proline Iac,Joola Brasil,14,899.0,https://joola.com.br/products/raquete-blade-proline-iac-fl,True,19,30c0a546-db85-4cd6-b2c8-6d767889b176,2026-03-22 20:47:40.733300,
Joola,Raquete Baseline All,Joola Brasil,14,299.0,https://joola.com.br/products/raquete-joola-blade-baseline-all-fl,True,20,f5a76bb4-c744-405d-b5c7-8d4eb33b03d6,2026-03-22 20:47:40.748787,
Joola,Raquete Proline Aw5,Joola Brasil,14,799.0,https://joola.com.br/products/raquete-joola-proline-aw5,True,21,d8622259-b4bb-40ac-a0d9-f364371fa4d2,2026-03-22 20:47:40.760495,
Joola,Raquete Proline Aw7,Joola Brasil,14,899.0,https://joola.com.br/products/raquete-joola-proline-aw7,True,22,262fe988-b2f0-4161-a5a9-f54fb72ae949,2026-03-22 20:47:40.773634,
