brand_name,model_name,price_brl,product_url,image_url,store_name
3rdshot,Touch Control 16MM Edição Especial,474.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-touch-control-16mm-edicao-especial-mpttr/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/2-58dd37200e450bc91317617433048788-1024-1024.webp,Brazil Pickleball Store
Selkirk,Labs Project 008 Invikta 16mm,2197.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-008-invikta-16mm-pojrk/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/88-fb21ec274593dd506f17615872423271-1024-1024.webp,Brazil Pickleball Store
3rdshot,Start 16mm,367.0,https://www.brazilpickleballstore.com.br/produtos/raquete-3rdshot-start-16mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/fotos-site-11-09926787f3ffa576b417533652852452-1024-1024.webp,Brazil Pickleball Store
Engage,Pursuit Pro1 Widebody 12.7mm,1079.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-widebody-12-7mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/70-5e25cb9d66633ba49717476632895662-1024-1024.webp,Brazil Pickleball Store
Engage,Pursuit Pro1 6.0 Widebody 15.2mm,1079.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-6-0-widebody-15-2mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/71-134dfcecb487d1046317476632061675-1024-1024.webp,Brazil Pickleball Store
Engage,Pursuit Pro1 6.0 Hybrid 15.2mm,1079.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-6-0-hybrid-15-2mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/72-4b64c738c07cc8fea717476629418065-1024-1024.webp,Brazil Pickleball Store
Selkirk,Invikta Amped Pro Air Jack Sock,1329.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-invikta-amped-pro-air-jack-sock/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/106-28f0e3f945eea9769417392875649151-1024-1024.webp,Brazil Pickleball Store
Paddletek,Bantam TKO-C 12.7mm,1074.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-bantam-tko-c-12-7mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/tko-blue-c-12-image-287bdcf54e29907b1517153594180295-1024-1024.webp,Brazil Pickleball Store
Selkirk,Labs Project Boom Stik Enlongated 16mm,2624.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-boom-stik-enlongated-16mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/82-67747173359f9f446417558905760960-1024-1024.webp,Brazil Pickleball Store
Engage,Pursuit Pro1 Innovation 12.7mm,1499.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-innovation-12-7mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/67-c7fe59ce48bb07678517476620373802-1024-1024.webp,Brazil Pickleball Store
ProXR,Signature Series 13mm,999.0,https://www.brazilpickleballstore.com.br/produtos/raquete-proxr-signature-series-13mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/34-f637724b4ccd2b038e17234843022144-1024-1024.webp,Brazil Pickleball Store
Selkirk,Labs Project BoomStik Enlongated 16mm - JACK SOCK,2729.0,https://www.brazilpickleballstore.com.br/produtos/raquete-selkirk-labs-project-boomstik-enlongated-16mm-jack-sock-wo0a8/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/86-adee9457d38371fa0617664077179109-1024-1024.webp,Brazil Pickleball Store
Engage,Pursuit Pro1 Hybrid 12.7mm,1549.0,https://www.brazilpickleballstore.com.br/produtos/engage-pursuit-pro1-hybrid-12-7mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/69-714d659a1ca72a647f17476630317627-1024-1024.webp,Brazil Pickleball Store
Paddletek,Bantam TKO-C 14.3mm,1499.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-bantam-tko-c-14-3mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/2-c7d153b46e679b163817250239654045-1024-1024.webp,Brazil Pickleball Store
Paddletek,Tempest Reign V3,799.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-tempest-reign-v3/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/1111-bf35cad65f7287698b16920175228705-1024-1024.webp,Brazil Pickleball Store
Paddletek,Tempest TKO-C 14.3mm,1199.0,https://www.brazilpickleballstore.com.br/produtos/raquete-paddletek-tempest-tko-c-14-3mm/,https://acdn-us.mitiendanube.com/stores/002/859/813/products/tempest-tko-c-purple-front-aa728b19b61fbbf42e17153590809584-1024-1024.webp,Brazil Pickleball Store
