brand_name,model_name,price_brl,product_url,store_name,image_url
Joola,Raquete de Pickleball  Hyperion CFS 16mm,1199.0,https://joola.com.br/products/raquete-de-pickleball-joola-hyperion-cfs-16mm,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-hyperion-cfs-crash-aqua-16mm-web1.jpg?v=1770907581
Joola,Raquete de Pickleball  Graf Pro V,1999.0,https://joola.com.br/products/raquete-de-pickleball-joola-graf-pro-v-steffi-graf-seaside-green,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-graf-proV-steffi-graf-seaside-green-16mm-web1.jpg?v=1770320094
Joola,Raquete de Pickleball  Agassi Pro V,1999.0,https://joola.com.br/products/raquete-de-pickleball-joola-agassi-pro-v-andre-agassi-royal-blue,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-agassi-proV-andre-royal-blue-14mm-web1.jpg?v=1772472421
Joola,Raquete de Pickleball  Hyperion Pro V,1999.0,https://joola.com.br/products/raquete-de-pickleball-joola-hyperion-pro-v-ben-johns-bolt-blue,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-hyperion-proV-ben-johns-bolt-blue-14mm-web1.jpg?v=1772470751
Joola,Raquete de Pickleball  Scorpeus Pro V,1999.0,https://joola.com.br/products/raquete-de-pickleball-joola-scorpeus-pro-v,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-scorpeus-proV-anna-bright-yellow-16mm-web1.jpg?v=1770379940
Joola,Raquete de Pickleball  Perseus Pro V,1999.0,https://joola.com.br/products/raquete-de-pickleball-joola-perseus-pro-v-ben-johns,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-perseus-proV-ben-johns-blaze-red-14mm-profissional-web1.jpg?v=1770398525
Joola,Raquete de Pickleball  Kosmos Pro V,1999.0,https://joola.com.br/products/raquete-de-pickleball-joola-kosmos-pro-v,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-pickleball-joola-kosmos-proV-federico-staksrud-surge-green-16mm-web1.jpg?v=1770389096
Joola,Kit com 2 Raquetes  Match Pro + Rede Retrátil,562.0,https://joola.com.br/products/kit-com-2-raquetes-joola-match-pro-e-uma-rede-retratil,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/kit-set-raquete-joola-tenis-mesa-ping-pong-match-pro-rede-net-retratil-portatil-ajustavel-web.jpg?v=1756838335
Joola,Raquete  Match Pro,249.0,https://joola.com.br/products/raquete-joola-match-pro,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-joola-tenis-mesa-ping-pong-match-pro-friction-vizon-ittf-brasil-web1.jpg?v=1755888375
Joola,Raquete  Infinity Balance (Verde),349.0,https://joola.com.br/products/raquete-joola-infinity-balance-verde,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-joola-infinity-balance-tenis-mesa-ping-pong-madeira-brasil-verde-web1.jpg?v=1755888882
Joola,Kit Raquete  Infinity Balance (vermelha) + Raqueteira (Capa) para Raquete Tênis de Mesa Pocket (vermelha),425.0,https://joola.com.br/products/kit-raquete-joola-infinity-balance-vemelha-raqueteira-capa-para-raquete-tenis-de-mesa-pocket-vermelho,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/ml_5917880502.jpg?v=1739188953
Joola,Rede e Suporte  WX Aluminium Net + 1 Conjunto de raquetes de tênis de mesa  Vivid,568.0,https://joola.com.br/products/rede-e-suporte-joola-wx-aluminium-net-1-conjunto-de-raquetes-de-tenis-de-mesa-joola-vivid,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/Designsemnome_3.jpg?v=1737485931
Joola,Raqueteira (Capa) para Raquete de Tênis de Mesa Alu preta 20,339.0,https://joola.com.br/products/raqueteira-capa-para-raquete-de-tenis-de-mesa-alu-preta-20,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/80555_JOOLA_Alu-Double-Bat-Case_01_web.jpg?v=1744119509
Joola,Raqueteira (Capa) para Raquete Tênis de Mesa Vision Safe II Preta,189.0,https://joola.com.br/products/raqueteira-capa-para-raquete-tenis-de-mesa-vision-safe-ii-preta,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/80169_01_04872a34-95a3-4fd5-b7a5-355ebb3c8816.jpg?v=1759513863
Joola,Raqueteira (Capa) para Raquete Tênis de Mesa Vision Safe II Azul,189.0,https://joola.com.br/products/vision-ii-safe-table-tennis-racket-case,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/VisionSafe-web1.jpg?v=1760965703
Joola,Raquete de Pickleball  Simone Jardim Hyperion C2 CFS (16mm),899.0,https://joola.com.br/products/raquete-de-pickleball-simone-jardim-hyperion-c2-cfs-16,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/Simone-Jardim-Hyperion-C2-CFS-16-17000-Web-01.jpg?v=1730733129
Joola,Kit com 2 Raquetes e 3 Bolas  Rosskopf,199.0,https://joola.com.br/products/kit-com-2-raquetes-e-3-bolas-joola-rosskopf,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/Kitcom2Raquetese3BolasJOOLARosskopf.jpg?v=1749222543
Joola,Raquete  Bat Match,119.0,https://joola.com.br/products/raquete-joola-bat-match,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/raquete-joola-bat-match-tenis-mesa-ping-pong-web1.jpg?v=1769623810
Joola,Raquete  Team Master,189.0,https://joola.com.br/products/raquete-joola-team-masters,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/RaqueteJOOLATeamMasters.jpg?v=1769611968
Joola,Kit Raquete  Infinity Balance (azul) + Raqueteira (Capa) para Raquete Tênis de Mesa Pocket (azul),425.0,https://joola.com.br/products/kit-raquete-joola-infinity-balance-azul-raqueteira-capa-para-raquete-tenis-de-mesa-pocket-azul,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/Infinity_pocketazul.jpg?v=1769168559
Joola,Kit Mini Mesa  Midsize + 1 Conjunto Family Set (Maleta com 4 Raquetes e 10 Bolas),1345.0,https://joola.com.br/products/kit-mini-mesa-joola-midsize-1-conjunto-family-set,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/1911754810.jpg?v=1762352564
Joola,Kit Tampo de Mesa  Tetra Conversion Top + 1 Conjunto Family Set (Maleta com 4 Raquetes e 10 Bolas),2508.0,https://joola.com.br/products/tampo-de-mesa-joola-tetra-conversion-top-1-conjunto-family-set-maleta-com-4-raquetes-e-10-bolas,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/1157554810.jpg?v=1762361880
Joola,Kit Tampo de Mesa  Conversion Top + 1 Conjunto Family Set (Maleta com 4 Raquetes e 10 Bolas),2238.0,https://joola.com.br/products/kit-tampo-de-mesa-joola-conversion-top-conjunto-family-set,Joola Brasil,https://cdn.shopify.com/s/files/1/0710/1998/7182/files/Image20260121134345.jpg?v=1769013895
